model_name,threshold,validation_f1_at_threshold,default_accuracy,default_precision,default_recall,default_f1_score,accuracy,precision,recall,f1_score,roc_auc,pr_auc,confusion_matrix,validation_training_time,full_training_time,threshold_source,features,status
xgb_depth3_lr0.03,0.63,0.7217806041335453,0.8228419654714475,0.5960893854748603,0.8651351351351352,0.7058434399117971,0.8525232403718459,0.6772106398274622,0.7637837837837838,0.7178966086625175,0.9223082175485344,0.8193003002909758,"[[10013, 1347], [874, 2826]]",3.298952579498291,3.8187386989593506,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
lgbm_leaves31_depth3_lr0.03,0.635,0.7196652719665272,0.8217795484727756,0.5940740740740741,0.867027027027027,0.705054945054945,0.8539840637450199,0.6827367908448989,0.7578378378378379,0.7183297041116946,0.9224907927293491,0.819953791986324,"[[10057, 1303], [896, 2804]]",0.9759283065795898,1.0649316310882568,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
xgb_depth3_lr0.05,0.62,0.7250393700787402,0.8266932270916335,0.6027526395173454,0.864054054054054,0.7101288316303865,0.8527888446215139,0.6739385409336148,0.7764864864864864,0.7215873414542258,0.9242438261324706,0.8232310010094989,"[[9970, 1390], [827, 2873]]",3.3688323497772217,4.126522541046143,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
lgbm_leaves31_depth3_lr0.05,0.615,0.7276142767689417,0.8258300132802124,0.6012789166823397,0.864054054054054,0.7091050238438505,0.8519920318725099,0.670610067269775,0.7813513513513514,0.7217575833229309,0.924431659212029,0.8234749619742325,"[[9940, 1420], [809, 2891]]",0.8674688339233398,1.2210984230041504,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
xgb_depth3_lr0.08,0.6699999999999999,0.7250414593698176,0.8300132802124834,0.609153581003447,0.8597297297297297,0.7130688186505267,0.8611553784860557,0.7129997352396081,0.7278378378378378,0.7203423833088137,0.9250823896079178,0.8250490017053326,"[[10276, 1084], [1007, 2693]]",3.412041187286377,4.345224380493164,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
lgbm_leaves31_depth3_lr0.08,0.635,0.7265749920051168,0.8285524568393094,0.6063951275218881,0.8610810810810811,0.7116372570918026,0.8569057104913679,0.6880019469457289,0.764054054054054,0.7240363682929952,0.9258866696802436,0.8265740278998193,"[[10078, 1282], [873, 2827]]",0.9523670673370361,1.0883691310882568,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
xgb_depth4_lr0.03,0.605,0.7262604392205382,0.8262948207171315,0.6018414130026306,0.8656756756756757,0.7100421192640213,0.849933598937583,0.662528216704289,0.7932432432432432,0.7220172201722017,0.9249225352112675,0.8249237234027677,"[[9865, 1495], [765, 2935]]",3.689720392227173,5.240243434906006,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
lgbm_leaves31_depth4_lr0.03,0.62,0.7292124254785064,0.8255644090305445,0.6002616333395627,0.8681081081081081,0.7097558280852945,0.8533200531208499,0.6744675871752867,0.778918918918919,0.7229399222375518,0.9248546464598402,0.8247803573388964,"[[9969, 1391], [818, 2882]]",1.2856285572052002,1.5000414848327637,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
xgb_depth4_lr0.05,0.6399999999999999,0.7272727272727273,0.8299468791500664,0.6089535106179453,0.8602702702702703,0.7131175086815279,0.8572377158034529,0.6903241650294696,0.7597297297297297,0.7233659289758106,0.925410151789113,0.8257227325494333,"[[10099, 1261], [889, 2811]]",3.75883412361145,4.195823669433594,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
lgbm_leaves31_depth4_lr0.05,0.615,0.7271589486858573,0.8296148738379814,0.607835678965386,0.8637837837837837,0.7135521321723599,0.8542496679946879,0.6754488225693634,0.782972972972973,0.7252472149205157,0.9260877426722497,0.8273452591552095,"[[9968, 1392], [803, 2897]]",1.0903193950653076,1.0805435180664062,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
xgb_depth4_lr0.08,0.61,0.7226574741460358,0.8341965471447543,0.6173658536585366,0.8551351351351352,0.7170538243626062,0.8526560424966799,0.6719294172277688,0.7821621621621622,0.7228674909454228,0.9250379115911687,0.8252147865682996,"[[9947, 1413], [806, 2894]]",3.545224905014038,3.740709066390991,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
lgbm_leaves31_depth4_lr0.08,0.6449999999999999,0.7254391672088484,0.8299468791500664,0.6093719992318033,0.8575675675675676,0.7124733355787582,0.8584993359893758,0.6960759810047488,0.7527027027027027,0.7232826905596675,0.9260935477731251,0.8274052924735329,"[[10144, 1216], [915, 2785]]",1.0425751209259033,1.305875539779663,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
xgb_depth5_lr0.03,0.6649999999999999,0.7255354200988468,0.8289508632138114,0.6073338426279603,0.8594594594594595,0.711727842435094,0.8618857901726428,0.7118200836820083,0.7356756756756757,0.723551302498671,0.9255435501522649,0.8258500756827784,"[[10258, 1102], [978, 2722]]",4.01016092300415,4.830987215042114,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
lgbm_leaves31_depth5_lr0.03,0.6499999999999999,0.728451069345431,0.8284196547144754,0.6056818181818182,0.8643243243243244,0.7122494432071269,0.8598273572377158,0.7004794347716377,0.7502702702702703,0.7245204228109096,0.9258809002664636,0.8268782061827356,"[[10173, 1187], [924, 2776]]",1.370575189590454,1.6266632080078125,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
xgb_depth5_lr0.05,0.6499999999999999,0.7264397905759162,0.8333333333333334,0.6159392049883087,0.8543243243243244,0.7158061594202898,0.8592297476759628,0.7007113821138211,0.7454054054054055,0.7223677317967522,0.9251371811952798,0.824911784286111,"[[10182, 1178], [942, 2758]]",3.7028253078460693,4.560755968093872,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
lgbm_leaves31_depth5_lr0.05,0.6549999999999999,0.7275703994760969,0.8299468791500664,0.6088701969030778,0.8608108108108108,0.7132459970887919,0.8606241699867198,0.7054144213497562,0.7429729729729729,0.7237067263393445,0.9261289255805101,0.8276129984815475,"[[10212, 1148], [951, 2749]]",1.5456461906433105,1.745666742324829,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
xgb_depth5_lr0.08,0.6649999999999999,0.7192807192807192,0.8356573705179283,0.6223776223776224,0.8418918918918918,0.7156806433084434,0.8605577689243028,0.7129925452609158,0.7237837837837838,0.7183476394849786,0.9240786305671869,0.8241051779115549,"[[10282, 1078], [1022, 2678]]",4.581457138061523,4.707463979721069,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
lgbm_leaves31_depth5_lr0.08,0.6449999999999999,0.7241379310344828,0.8337981407702523,0.617008797653959,0.8529729729729729,0.7160521837776518,0.8587649402390438,0.6987616881475865,0.7472972972972973,0.7222149666971399,0.9255855657594214,0.8265642628248974,"[[10168, 1192], [935, 2765]]",1.3276827335357666,1.4164831638336182,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
cat_depth4_lr0.03,0.6699999999999999,0.7178631051752922,0.8243691899070386,0.5984325433849599,0.8667567567567568,0.7080251683408765,0.8571049136786189,0.7057416267942583,0.7175675675675676,0.7116054677030287,0.9216848353635326,0.8162734863670436,"[[10253, 1107], [1045, 2655]]",6.808573246002197,7.179675579071045,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
cat_depth4_lr0.05,0.6599999999999999,0.7228835978835979,0.8281540504648074,0.605743628756181,0.8608108108108108,0.7110962268363474,0.8564409030544489,0.6989136057941024,0.7302702702702702,0.7142479513613534,0.9230625356870955,0.8199970959502325,"[[10196, 1164], [998, 2702]]",7.149461269378662,7.377485513687134,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
cat_depth6_lr0.03,0.625,0.7223461906279885,0.8270916334661355,0.6040242976461655,0.86,0.7096342551293487,0.8538512616201859,0.6805589014695255,0.7635135135135135,0.7196535473188129,0.9231435453939856,0.8198948200958711,"[[10034, 1326], [875, 2825]]",7.7287797927856445,8.636992454528809,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
cat_depth6_lr0.05,0.6549999999999999,0.7237276933245208,0.8317397078353254,0.612984496124031,0.8548648648648649,0.7139954853273137,0.8596281540504648,0.7051215726849457,0.7367567567567568,0.7205921226539783,0.9250008683859916,0.8245224067619359,"[[10220, 1140], [974, 2726]]",8.138659238815308,8.75094985961914,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
cat_depth8_lr0.03,0.6449999999999999,0.7230719166937846,0.8306108897742364,0.6113156365045533,0.8527027027027027,0.7121092427491253,0.8581009296148738,0.6988043754769778,0.7424324324324324,0.7199580657843009,0.9243657689379522,0.8227481117694507,"[[10176, 1184], [953, 2747]]",13.088355302810669,12.343703031539917,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
cat_depth8_lr0.05,0.5599999999999999,0.7219512195121951,0.8357237715803453,0.6214342313787639,0.8478378378378378,0.7171925011431184,0.848472775564409,0.6555506801228609,0.8075675675675675,0.7236619036086219,0.9245720641416063,0.8235538941577485,"[[9790, 1570], [712, 2988]]",11.444299459457397,12.277605533599854,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
hgb_fe_lr0.03,0.33999999999999997,0.7271601114896252,0.8688579017264276,0.7714825306893296,0.6624324324324324,0.7128108186709321,0.854050464807437,0.6722477064220184,0.7921621621621622,0.7272952853598015,0.9259393795203653,0.8278015656985072,"[[9931, 1429], [769, 2931]]",13.415429592132568,14.870913028717041,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
hgb_fe_lr0.05,0.38999999999999996,0.7262059973924381,0.8685922974767596,0.7708530059804848,0.6618918918918919,0.7122291696960884,0.8598937583001328,0.7008590197069227,0.7497297297297297,0.7244711412901541,0.9256328749524172,0.8273092442034969,"[[10176, 1184], [926, 2774]]",7.673883676528931,8.530518531799316,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
hgb_fe_lr0.08,0.30999999999999994,0.7288084464555052,0.8679282868525896,0.7674273210378243,0.6635135135135135,0.7116973474416582,0.8467463479415671,0.65,0.8151351351351351,0.7232613908872901,0.9254647649409973,0.8269328317897284,"[[9736, 1624], [684, 3016]]",5.889869689941406,6.198944330215454,train_validation_split,numeric_scaling_onehot_bins_interactions,ok
